,Title,Artist,Period,Game
46,Take Me Out,Franz Ferdinand ( NYR Welcome)Taylor Kitsch),1st PERIOD,Oct. 13 vs. Oilers
47,Feels Like the First Time,Foreigner,1st PERIOD,Oct. 13 vs. Oilers
50,We Love Machine,Way Out West,1st INTERMISSION,Oct. 13 vs. Oilers
51,NYC Speed,Kill Hannah,1st INTERMISSION,Oct. 13 vs. Oilers
52,Lights,Ellie Goulding,1st INTERMISSION,Oct. 13 vs. Oilers
53,Feel it Still,Portugal the Man (Organ),1st INTERMISSION,Oct. 13 vs. Oilers
54,Times Like These,Foo Fighters,1st INTERMISSION,Oct. 13 vs. Oilers
57,Ride,twenty one pilots,2nd PERIOD,Oct. 13 vs. Oilers
58,On My Way,Tiesto,2nd PERIOD,Oct. 13 vs. Oilers
59,Electricity,Silk City ft. Dua Lipa,2nd PERIOD,Oct. 13 vs. Oilers
60,Don't You Worry Child,Swedish House Mafia ft. John Martin,2nd PERIOD,Oct. 13 vs. Oilers
61,All the Way,Timeflies,2nd PERIOD,Oct. 13 vs. Oilers
62,Celebrate,Pitbull,2nd PERIOD,Oct. 13 vs. Oilers
63,Raners Victory Song,NYR Welcomes Ranger the Dog,2nd PERIOD,Oct. 13 vs. Oilers
64,Shape of You,Ed Sheeran,2nd PERIOD,Oct. 13 vs. Oilers
65,I Love It,Icona Pop,2nd PERIOD,Oct. 13 vs. Oilers
66,In my Feelings,Drake,2nd PERIOD,Oct. 13 vs. Oilers
67,Ain't it Fun (Remix),Paramore,2nd PERIOD,Oct. 13 vs. Oilers
69,Miss you All the Time,O.A.R. (NYR Welcome Marc Roberge),Radio City Christmas Show Theme,Oct. 13 vs. Oilers
70,Right Now,Nick Jonas and Robin Schulz,Radio City Christmas Show Theme,Oct. 13 vs. Oilers
71,Our Story,Mako,Radio City Christmas Show Theme,Oct. 13 vs. Oilers
72,Wait (Remix),Maroon 5,Radio City Christmas Show Theme,Oct. 13 vs. Oilers
75,Stomp to my Beat,JS16,2nd INTERMISSION,Oct. 13 vs. Oilers
76,"You're a Mean One, Mr. Grinch",Thurl Ravenscroft,2nd INTERMISSION,Oct. 13 vs. Oilers
