,Title,Artist,Period,Game
54,The Moment,Nicky Romero,1st PERIOD,Oct. 6 vs. Flyers
57,Magic,Teddybears,1st INTERMISSION,Oct. 6 vs. Flyers
58,NYC Speed,Kill Hannah,1st INTERMISSION,Oct. 6 vs. Flyers
59,Close To Me,The Cure,1st INTERMISSION,Oct. 6 vs. Flyers
60,All My Loving,The Beatles (Organ),1st INTERMISSION,Oct. 6 vs. Flyers
61,Sidewalks of New York,Mel Torme (Organ),1st INTERMISSION,Oct. 6 vs. Flyers
62,Wake Up,Rage Against The Machine,1st INTERMISSION,Oct. 6 vs. Flyers
65,I Love Rock n' Roll,Joan Jett,2nd PERIOD,Oct. 6 vs. Flyers
66,Dark Necessities,Red Hot Chili Peppers,2nd PERIOD,Oct. 6 vs. Flyers
67,The Walker,Fitz and The Tantrums,2nd PERIOD,Oct. 6 vs. Flyers
68,Jean Genie,David Bowie,2nd PERIOD,Oct. 6 vs. Flyers
69,Pump it Up,Elvis Costello,2nd PERIOD,Oct. 6 vs. Flyers
70,Pride and Joy,Stevie Ray Vaughan,2nd PERIOD,Oct. 6 vs. Flyers
71,Gotta Give It Up,Marvin Gaye,2nd PERIOD,Oct. 6 vs. Flyers
72,Gimme Some Lovin,Spencer Davis Group,2nd PERIOD,Oct. 6 vs. Flyers
73,Don't Give Up,Fedde Le Grande,2nd PERIOD,Oct. 6 vs. Flyers
74,Urgent,Foreigner,2nd PERIOD,Oct. 6 vs. Flyers
75,Destroyer,The Kinks,2nd PERIOD,Oct. 6 vs. Flyers
76,Rock and Roll All Nite,Kiss,2nd PERIOD,Oct. 6 vs. Flyers
77,Music,Madonna,2nd PERIOD,Oct. 6 vs. Flyers
78,Virtual Insanity,Jamiroquai,2nd PERIOD,Oct. 6 vs. Flyers
79,Left Hand Free,Alt J,2nd PERIOD,Oct. 6 vs. Flyers
80,Shakin,Eddie Money,2nd PERIOD,Oct. 6 vs. Flyers
83,Way Out West,We Love Machine,2nd INTERMISSION,Oct. 6 vs. Flyers
84,Don't Take Me Alive,Steely Dan,2nd INTERMISSION,Oct. 6 vs. Flyers
85,Crazy Train,Ozzy Osbourne (Organ),2nd INTERMISSION,Oct. 6 vs. Flyers
86,Greyhound,Swedish House Mafia,2nd INTERMISSION,Oct. 6 vs. Flyers
89,Shake It Out,Manchester Orchestra,3rd PERIOD,Oct. 6 vs. Flyers
90,Zero,Smashing Pumpkins,3rd PERIOD,Oct. 6 vs. Flyers
91,Lithium,Nirvana,3rd PERIOD,Oct. 6 vs. Flyers
92,Intoxicated,Martin Solveig,3rd PERIOD,Oct. 6 vs. Flyers
93,Turn the Music Louder,KDA,3rd PERIOD,Oct. 6 vs. Flyers
94,Jump,Toxxic,3rd PERIOD,Oct. 6 vs. Flyers
95,No One Knows,Queens of the Stone Age,3rd PERIOD,Oct. 6 vs. Flyers
96,Evenflow,Pearl Jam,3rd PERIOD,Oct. 6 vs. Flyers
97,Bang Bang,Green Day,3rd PERIOD,Oct. 6 vs. Flyers
98,Last Night,Strokes,3rd PERIOD,Oct. 6 vs. Flyers
99,Touch Me,The Doors,3rd PERIOD,Oct. 6 vs. Flyers
100,Sabotage,Beastie Boys,3rd PERIOD,Oct. 6 vs. Flyers
101,Been Caught Stealing,James Addiction,3rd PERIOD,Oct. 6 vs. Flyers
102,Rock and Roll Train,AC/DC,3rd PERIOD,Oct. 6 vs. Flyers
103,November Rain,Guns N Roses,3rd PERIOD,Oct. 6 vs. Flyers
104,The Pretender,Foo Fighters,3rd PERIOD,Oct. 6 vs. Flyers
107,New York Hustle,Dave Stewart and Mick Jagger,POSTGAME,Oct. 6 vs. Flyers
108,New York,Ryan Adams,POSTGAME,Oct. 6 vs. Flyers
109,New York State of Mind,Tony Bennett and Billy Joel,POSTGAME,Oct. 6 vs. Flyers
1,Adventure of a Lifetime,Coldplay,WALK-IN MIX,Oct. 13 vs. Islanders
2,Renegades,X Ambassadors,WALK-IN MIX,Oct. 13 vs. Islanders
3,Strangers,The Rebel Light,WALK-IN MIX,Oct. 13 vs. Islanders
4,The Step and The Walk,The Duke Spirit,WALK-IN MIX,Oct. 13 vs. Islanders
5,Electric Feel,MGMT,WALK-IN MIX,Oct. 13 vs. Islanders
6,Give Life Back to Music,Daft Punk,WALK-IN MIX,Oct. 13 vs. Islanders
9,New York State of Mind,Billy Joel,ORGAN SET,Oct. 13 vs. Islanders
10,Take the A Train,Duke Ellington,ORGAN SET,Oct. 13 vs. Islanders
11,Fly Me To the Moon,Frank Sinatra,ORGAN SET,Oct. 13 vs. Islanders
12,On Broadway,The Drifters,ORGAN SET,Oct. 13 vs. Islanders
15,Countdown,Hardwell,WARMUPS,Oct. 13 vs. Islanders
16,Don't Give Up,Fedde Le Grand,WARMUPS,Oct. 13 vs. Islanders
17,Into The Light,Sander Van Doorn,WARMUPS,Oct. 13 vs. Islanders
18,The Moment,Nicky Romero,WARMUPS,Oct. 13 vs. Islanders
19,Ahead of Us,Tom Swoon,WARMUPS,Oct. 13 vs. Islanders
20,This is Love,Tritional,WARMUPS,Oct. 13 vs. Islanders
21,Back Where I Belong,Otto Knows,WARMUPS,Oct. 13 vs. Islanders
22,Time to Fly,Avicii,WARMUPS,Oct. 13 vs. Islanders
23,Calling,Sebastian Ingrosso,WARMUPS,Oct. 13 vs. Islanders
24,Sweet Child O' Mine (remix),Guns N Roses,WARMUPS,Oct. 13 vs. Islanders
25,Rattle,Bingo Players,WARMUPS,Oct. 13 vs. Islanders
26,Here We Go,Hard Rock Sofa,WARMUPS,Oct. 13 vs. Islanders
27,Generation 303,Nicky Romero,WARMUPS,Oct. 13 vs. Islanders
28,The One and Only,Quintino,WARMUPS,Oct. 13 vs. Islanders
29,Mammoth,Dimitri Vegas,WARMUPS,Oct. 13 vs. Islanders
30,Barricade,Axwell,WARMUPS,Oct. 13 vs. Islanders
31,Turn It,Fedde Le Grand,WARMUPS,Oct. 13 vs. Islanders
32,Awooga,Calvin Harris,WARMUPS,Oct. 13 vs. Islanders
35,Theme from New York New York,Frank Sinatra,ORGAN SET,Oct. 13 vs. Islanders
36,Karn Evil 9,"Emerson, Lake, and Palmer",ORGAN SET,Oct. 13 vs. Islanders
37,96 Tears,? and the Mysterians,ORGAN SET,Oct. 13 vs. Islanders
40,Rangers Victory Song,Ray Castoldi at the Garden Organ,PREGAME CEREMONIES,Oct. 13 vs. Islanders
41,Majestic,Avicii and Tiesto,PREGAME CEREMONIES,Oct. 13 vs. Islanders
42,The Hockey Song,Border Cops,PREGAME CEREMONIES,Oct. 13 vs. Islanders
43,Heartbreaker,Led Zeppelin,PREGAME CEREMONIES,Oct. 13 vs. Islanders
46,Start Me Up,Rolling Stones,1st PERIOD,Oct. 13 vs. Islanders
47,Let's Go,The Cars,1st PERIOD,Oct. 13 vs. Islanders
48,Tossin and Turnin',Bobby Lewis,1st PERIOD,Oct. 13 vs. Islanders
49,Hold On Tight,Electric Light Orchestra,1st PERIOD,Oct. 13 vs. Islanders
50,Feel Good Inc,Gorillaz,1st PERIOD,Oct. 13 vs. Islanders
51,Bulls on Parade,Rage Against the Machine (Rangers Wecome Matt Harvey),1st PERIOD,Oct. 13 vs. Islanders
52,Are You Ready,AC/DC,1st PERIOD,Oct. 13 vs. Islanders
53,Lonely Boy,The Black Keys,1st PERIOD,Oct. 13 vs. Islanders
54,The Walker,Fitz and the Tantrums,1st PERIOD,Oct. 13 vs. Islanders
55,The Bomb,Bucketheads,1st PERIOD,Oct. 13 vs. Islanders
56,Kind of a Girl,Tinted Windows (Rangers Welcome Debra Messing),1st PERIOD,Oct. 13 vs. Islanders
57,Out on the Tiles,Led Zeppelin,1st PERIOD,Oct. 13 vs. Islanders
58,Shout It Out Loud,KISS,1st PERIOD,Oct. 13 vs. Islanders
59,She Sells Sanctuary,The Cult,1st PERIOD,Oct. 13 vs. Islanders
60,Ride the Lightning,Metallica (Rangers Welcome Cuba Gooding Jr),1st PERIOD,Oct. 13 vs. Islanders
61,London Calling,The Clash,1st PERIOD,Oct. 13 vs. Islanders
62,Mess Around,Cage the Elephant,1st PERIOD,Oct. 13 vs. Islanders
63,Black Betty,Ram Jam,1st PERIOD,Oct. 13 vs. Islanders
66,We Are One,Switchfoot,1st INTERMISSION,Oct. 13 vs. Islanders
67,One After 909,Beatles,1st INTERMISSION,Oct. 13 vs. Islanders
68,Peg,Steely Dan,1st INTERMISSION,Oct. 13 vs. Islanders
69,Lucy in the Sky With Diamonds,Beatles (organ),1st INTERMISSION,Oct. 13 vs. Islanders
70,Rival,Black Rebel Motorcycle Club,1st INTERMISSION,Oct. 13 vs. Islanders
73,Where You At,Bohicas,2nd PERIOD,Oct. 13 vs. Islanders
74,Come With Me,Puff Daddy,2nd PERIOD,Oct. 13 vs. Islanders
75,Been Caught Stealing,James Addiction,2nd PERIOD,Oct. 13 vs. Islanders
76,All For One,Stone Roses,2nd PERIOD,Oct. 13 vs. Islanders
77,Shattered (Turn the Car Around),O.A.R. (Rangers Welcome Marc Roberge),2nd PERIOD,Oct. 13 vs. Islanders
78,Congregation,Foo Fighters,2nd PERIOD,Oct. 13 vs. Islanders
79,I Will Follow,U2,2nd PERIOD,Oct. 13 vs. Islanders
80,Kickstart My Heart,Motley Crue,2nd PERIOD,Oct. 13 vs. Islanders
81,Bullet With Butterfly Wings,Smashing Pumpkins,2nd PERIOD,Oct. 13 vs. Islanders
82,Take Me to the River,Talking Heads,2nd PERIOD,Oct. 13 vs. Islanders
83,Cake By the Ocean,DNCE,2nd PERIOD,Oct. 13 vs. Islanders
84,King of Rock,Run DMC (Rangers Welcome Darryl McDaniels),2nd PERIOD,Oct. 13 vs. Islanders
85,Pump It Up,Elvis Costello,2nd PERIOD,Oct. 13 vs. Islanders
86,Hate to Say I Told You So,The Hives,2nd PERIOD,Oct. 13 vs. Islanders
89,The Launch,DJ Jean,2nd INTERMISSION,Oct. 13 vs. Islanders
90,Born to be Wild,Steppenwolf,2nd INTERMISSION,Oct. 13 vs. Islanders
91,Joy to the World,Three Dog Night (organ),2nd INTERMISSION,Oct. 13 vs. Islanders
92,My House,Flo Rida,2nd INTERMISSION,Oct. 13 vs. Islanders
95,Unsung,Helmet,3rd PERIOD,Oct. 13 vs. Islanders
96,Kashmir,Led Zeppelin,3rd PERIOD,Oct. 13 vs. Islanders
97,Firestarter,Prodigy,3rd PERIOD,Oct. 13 vs. Islanders
98,Salute You Solution,The Raconteurs,3rd PERIOD,Oct. 13 vs. Islanders
99,Victorious,Tool,3rd PERIOD,Oct. 13 vs. Islanders
100,Are You Gonna Go My Way,Lenny Kravitz,3rd PERIOD,Oct. 13 vs. Islanders
101,Gimme Some Lovin,Spencer Davis Group,3rd PERIOD,Oct. 13 vs. Islanders
102,I Bet You Look Good on the Dancefloor,Arctic Monkeys,3rd PERIOD,Oct. 13 vs. Islanders
103,Animal,Pearl Jam,3rd PERIOD,Oct. 13 vs. Islanders
104,I Feel Good,James Brown,3rd PERIOD,Oct. 13 vs. Islanders
105,Let's Go,Calvin Harris,3rd PERIOD,Oct. 13 vs. Islanders
106,Going Out of My Head,Fat Boy Slim,3rd PERIOD,Oct. 13 vs. Islanders
107,Strike It Up,Black Box,3rd PERIOD,Oct. 13 vs. Islanders
108,Master of Puppets,Metallica,3rd PERIOD,Oct. 13 vs. Islanders
109,Bullet to the Head,Rage Against the Machine,3rd PERIOD,Oct. 13 vs. Islanders
113,Heroes,David Guetta and David Bowie,Rangers Victory Song,Oct. 13 vs. Islanders
114,Empire State of Mind,Jay Z and Alicia Keys,Rangers Victory Song,Oct. 13 vs. Islanders
115,New York State of Mind,Tony Bennett and Billy Joel,Rangers Victory Song,Oct. 13 vs. Islanders
1,Theme From New York New York,Frank Sinatra,ORGAN SET,Oct. 17 vs. Sharks
2,Girl From Ipanema,Antonio Carlos Jobim,ORGAN SET,Oct. 17 vs. Sharks
3,Love Her Madly,The Doors,ORGAN SET,Oct. 17 vs. Sharks
6,Countdown,Hardwell,WARMUPS,Oct. 17 vs. Sharks
7,Don't Give Up,Fedde Le Grand,WARMUPS,Oct. 17 vs. Sharks
8,Into The Light,Sander Van Doorn,WARMUPS,Oct. 17 vs. Sharks
9,The Moment,Nicky Romero,WARMUPS,Oct. 17 vs. Sharks
10,Ahead of Us,Tom Swoon,WARMUPS,Oct. 17 vs. Sharks
11,This is Love,Tritional,WARMUPS,Oct. 17 vs. Sharks
12,Back Where I Belong,Otto Knows,WARMUPS,Oct. 17 vs. Sharks
13,Time to Fly,Avicii,WARMUPS,Oct. 17 vs. Sharks
14,Calling,Sebastian Ingrosso,WARMUPS,Oct. 17 vs. Sharks
15,Sweet Child O' Mine (remix),Guns N Roses,WARMUPS,Oct. 17 vs. Sharks
16,Rattle,Bingo Players,WARMUPS,Oct. 17 vs. Sharks
17,Here We Go,Hard Rock Sofa,WARMUPS,Oct. 17 vs. Sharks
18,Generation 303,Nicky Romero,WARMUPS,Oct. 17 vs. Sharks
19,The One and Only,Quintino,WARMUPS,Oct. 17 vs. Sharks
20,Mammoth,Dimitri Vegas,WARMUPS,Oct. 17 vs. Sharks
21,Barricade,Axwell,WARMUPS,Oct. 17 vs. Sharks
22,Turn It,Fedde Le Grand,WARMUPS,Oct. 17 vs. Sharks
23,Awooga,Calvin Harris,WARMUPS,Oct. 17 vs. Sharks
26,In the Air Tonight,Phil Collins,PREGAME CEREMONIES,Oct. 17 vs. Sharks
27,The Hockey Song,Stompin Tom Connors (organ),PREGAME CEREMONIES,Oct. 17 vs. Sharks
28,Waste A Moment,Kings of Leon,PREGAME CEREMONIES,Oct. 17 vs. Sharks
29,Heartbreaker,Led Zeppelin,PREGAME CEREMONIES,Oct. 17 vs. Sharks
32,Go!,M83,1st PERIOD,Oct. 17 vs. Sharks
33,Off the Ground,The Record Company,1st PERIOD,Oct. 17 vs. Sharks
34,Move,Saint Motel,1st PERIOD,Oct. 17 vs. Sharks
35,You Can't Judge A Book by it's Cover,Fabulous Thunderbirds,1st PERIOD,Oct. 17 vs. Sharks
36,Since You Been Gone,The Heavy,1st PERIOD,Oct. 17 vs. Sharks
37,Celebrate,Pitbull,1st PERIOD,Oct. 17 vs. Sharks
38,Delirious,Steve Aoki,1st PERIOD,Oct. 17 vs. Sharks
39,Shut Up and Dance,Walk the Moon,1st PERIOD,Oct. 17 vs. Sharks
40,Blood is Pumping,Voodoo & Serano,1st PERIOD,Oct. 17 vs. Sharks
41,Go Robot,Red Hot Chili Peppers,1st PERIOD,Oct. 17 vs. Sharks
42,The Walker,Fitz and the Tantrums,1st PERIOD,Oct. 17 vs. Sharks
43,Hard Times,Parlor Mob,1st PERIOD,Oct. 17 vs. Sharks
44,Devour,Shinedown,1st PERIOD,Oct. 17 vs. Sharks
45,What Would You Say,Dave Matthews Band,1st PERIOD,Oct. 17 vs. Sharks
48,Camel Back,AB Skhy,1st INTERMISSION,Oct. 17 vs. Sharks
49,New York City,Lenny Kravitz,1st INTERMISSION,Oct. 17 vs. Sharks
50,NYC Speed,Kill Hannah,1st INTERMISSION,Oct. 17 vs. Sharks
51,Movin' Out,Billy Joel,1st INTERMISSION,Oct. 17 vs. Sharks
52,I'm a Believer,Monkees (organ),1st INTERMISSION,Oct. 17 vs. Sharks
53,Rival,Black Rebel Motorcycle Club,1st INTERMISSION,Oct. 17 vs. Sharks
56,The Ills,Mayer Hawthorne,2nd PERIOD,Oct. 17 vs. Sharks
57,Seven Nation Army,White Stripes,2nd PERIOD,Oct. 17 vs. Sharks
58,Takin' Care of Business,Bachman Turner Overdrive,2nd PERIOD,Oct. 17 vs. Sharks
59,Go,Chemical Brothers,2nd PERIOD,Oct. 17 vs. Sharks
60,Paradise City,Guns N Roses,2nd PERIOD,Oct. 17 vs. Sharks
61,Mr. Brightside,The Killers,2nd PERIOD,Oct. 17 vs. Sharks
62,Be Your Shadow,The Wombats,2nd PERIOD,Oct. 17 vs. Sharks
63,Party Rock Anthem,LMFAO,2nd PERIOD,Oct. 17 vs. Sharks
64,What I Like About You,The Romantics,2nd PERIOD,Oct. 17 vs. Sharks
65,Are You Gonna Be My Girl,Jet (Rangers Welcome Anne Burrell,2nd PERIOD,Oct. 17 vs. Sharks
66,Straight On,Heart,2nd PERIOD,Oct. 17 vs. Sharks
67,Accidents Will Happen,Elvis Costello,2nd PERIOD,Oct. 17 vs. Sharks
68,Gold In the Ceiling,The Black Keys,2nd PERIOD,Oct. 17 vs. Sharks
69,Kiss This,The Struts,2nd PERIOD,Oct. 17 vs. Sharks
70,If You Want Blood,AC/DC,2nd PERIOD,Oct. 17 vs. Sharks
71,Theme from Saturday Night Live,Rangers Welcome Michael Che,2nd PERIOD,Oct. 17 vs. Sharks
72,Train Kept A Rollin,Aerosmith,2nd PERIOD,Oct. 17 vs. Sharks
73,Buddy Holly,Weezer,2nd PERIOD,Oct. 17 vs. Sharks
76,I Love It,Icona Pop,2nd INTERMISSION,Oct. 17 vs. Sharks
77,Frankenstein,Edgar Winter Group,2nd INTERMISSION,Oct. 17 vs. Sharks
78,Bad Sneakers,Steely Dan,2nd INTERMISSION,Oct. 17 vs. Sharks
79,Eight Days A Week,Beatles (organ),2nd INTERMISSION,Oct. 17 vs. Sharks
80,Majestic,Avicii and Tiesto,2nd INTERMISSION,Oct. 17 vs. Sharks
83,Rebel Heart,The Shelters,3rd PERIOD,Oct. 17 vs. Sharks
84,Plush,Stone Temple Pilots,3rd PERIOD,Oct. 17 vs. Sharks
85,Travis Walk,Stevie Ray Vaughan,3rd PERIOD,Oct. 17 vs. Sharks
86,One More Time,Daft Punk,3rd PERIOD,Oct. 17 vs. Sharks
87,Take Over Control,Afrojack,3rd PERIOD,Oct. 17 vs. Sharks
88,Moves Like Jagger,Maroon 5,3rd PERIOD,Oct. 17 vs. Sharks
89,This Is How I Disappear,My Chemical Romance,3rd PERIOD,Oct. 17 vs. Sharks
90,Breed,Nirvana,3rd PERIOD,Oct. 17 vs. Sharks
91,Brand New Cadillac,The Clash,3rd PERIOD,Oct. 17 vs. Sharks
92,Praise You,Fat Boy Slim,3rd PERIOD,Oct. 17 vs. Sharks
93,Tennessee Mud,Trigger Hippy,3rd PERIOD,Oct. 17 vs. Sharks
94,Hot For Teacher,Van Halen,3rd PERIOD,Oct. 17 vs. Sharks
95,Reach Up,Perfecto All Stars,3rd PERIOD,Oct. 17 vs. Sharks
96,Strike It Up,Black Box,3rd PERIOD,Oct. 17 vs. Sharks
97,Twilight Zone,Z Uninvited,3rd PERIOD,Oct. 17 vs. Sharks
98,Light em Up,Fall Out Boy,3rd PERIOD,Oct. 17 vs. Sharks
99,Mother,Danzig,3rd PERIOD,Oct. 17 vs. Sharks
100,Can't Stop,Red Hot Chili Peppers,3rd PERIOD,Oct. 17 vs. Sharks
101,Louie Louie,The Kingsmen,3rd PERIOD,Oct. 17 vs. Sharks
105,Heroes (remix),David Guetta and David Bowie,Rangers Victory Song,Oct. 17 vs. Sharks
106,Empire State of Mind,Alicia Keys and Jay Z,Rangers Victory Song,Oct. 17 vs. Sharks
107,New York State of Mind,Tony Bennett and Billy Joel,Rangers Victory Song,Oct. 17 vs. Sharks
1,Sweet Child o Mine,Guns N Roses,ORGAN & GUITAR SET,Oct. 19 vs. Red Wings
2,Come Together,The Beatles,ORGAN & GUITAR SET,Oct. 19 vs. Red Wings
5,Countdown,Hardwell,WARMUPS,Oct. 19 vs. Red Wings
6,Don't Give Up,Fedde Le Grand,WARMUPS,Oct. 19 vs. Red Wings
7,Into The Light,Sander Van Doorn,WARMUPS,Oct. 19 vs. Red Wings
8,The Moment,Nicky Romero,WARMUPS,Oct. 19 vs. Red Wings
9,Ahead of Us,Tom Swoon,WARMUPS,Oct. 19 vs. Red Wings
10,This is Love,Tritional,WARMUPS,Oct. 19 vs. Red Wings
11,Back Where I Belong,Otto Knows,WARMUPS,Oct. 19 vs. Red Wings
12,Time to Fly,Avicii,WARMUPS,Oct. 19 vs. Red Wings
13,Calling,Sebastian Ingrosso,WARMUPS,Oct. 19 vs. Red Wings
14,Sweet Child O' Mine (remix),Guns N Roses,WARMUPS,Oct. 19 vs. Red Wings
15,Rattle,Bingo Players,WARMUPS,Oct. 19 vs. Red Wings
16,Here We Go,Hard Rock Sofa,WARMUPS,Oct. 19 vs. Red Wings
17,Generation 303,Nicky Romero,WARMUPS,Oct. 19 vs. Red Wings
18,The One and Only,Quintino,WARMUPS,Oct. 19 vs. Red Wings
19,Mammoth,Dimitri Vegas,WARMUPS,Oct. 19 vs. Red Wings
20,Barricade,Axwell,WARMUPS,Oct. 19 vs. Red Wings
21,Turn It,Fedde Le Grand,WARMUPS,Oct. 19 vs. Red Wings
22,Awooga,Calvin Harris,WARMUPS,Oct. 19 vs. Red Wings
25,In the Air Tonight,Phil Collins,PREGAME CEREMONIES,Oct. 19 vs. Red Wings
26,Time of the Season,Zombies (Organ & Guitar),PREGAME CEREMONIES,Oct. 19 vs. Red Wings
27,The Hockey Song,Stompin Tom Conners (Organ & Guitar),PREGAME CEREMONIES,Oct. 19 vs. Red Wings
28,Waste A Moment,Kings of Leon,PREGAME CEREMONIES,Oct. 19 vs. Red Wings
29,Heartbreaker,Led Zeppelin,PREGAME CEREMONIES,Oct. 19 vs. Red Wings
32,Pump It Up,Elvis Costello,1st PERIOD,Oct. 19 vs. Red Wings
33,Give Me A Try,The Wombats,1st PERIOD,Oct. 19 vs. Red Wings
34,It's A Long Way to the Top,AC/DC (Rangers Welcome School of Rock cast),1st PERIOD,Oct. 19 vs. Red Wings
35,Take It Back,Temperance Movement,1st PERIOD,Oct. 19 vs. Red Wings
36,I Feel Love,Dead Weather,1st PERIOD,Oct. 19 vs. Red Wings
37,I Alone,Live,1st PERIOD,Oct. 19 vs. Red Wings
38,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,1st PERIOD,Oct. 19 vs. Red Wings
39,Yeah Yeah,Willy Moon,1st PERIOD,Oct. 19 vs. Red Wings
40,Wild Side,Motley Crue,1st PERIOD,Oct. 19 vs. Red Wings
41,Follow Me Home,Mystery Lights,1st PERIOD,Oct. 19 vs. Red Wings
42,I Can See For Miles,The Who,1st PERIOD,Oct. 19 vs. Red Wings
43,For Whom The Bell Tolls,Metallica,1st PERIOD,Oct. 19 vs. Red Wings
46,Here We Go Again,HeavyFeet,1st INTERMISSION,Oct. 19 vs. Red Wings
47,Free Ride,Edgar Winter Group,1st INTERMISSION,Oct. 19 vs. Red Wings
48,NYC Speed,Kill Hannah,1st INTERMISSION,Oct. 19 vs. Red Wings
49,Let My Love Open The Door,Peter Townshend,1st INTERMISSION,Oct. 19 vs. Red Wings
50,Moondance,Van Morrison (Organ & Guitar),1st INTERMISSION,Oct. 19 vs. Red Wings
51,Up Around the Bend,Creedence Clearwater Revival (Organ & Guitar),1st INTERMISSION,Oct. 19 vs. Red Wings
52,Rival,Black Rebel Motorcycle Club,1st INTERMISSION,Oct. 19 vs. Red Wings
55,Guerilla Radio,Rage Against The Machine,2nd PERIOD,Oct. 19 vs. Red Wings
56,Hail to the King,Avenged Sevenfold,2nd PERIOD,Oct. 19 vs. Red Wings
57,Outside,Foo Fighters,2nd PERIOD,Oct. 19 vs. Red Wings
58,Helicopter,Bloc Party,2nd PERIOD,Oct. 19 vs. Red Wings
59,A-Punk,Vampire Weekend,2nd PERIOD,Oct. 19 vs. Red Wings
60,Pressure & Time,Rival Sons,2nd PERIOD,Oct. 19 vs. Red Wings
61,Stop,Jane's Addiction,2nd PERIOD,Oct. 19 vs. Red Wings
62,Ain't Messin Around,Gary Clark Jr.,2nd PERIOD,Oct. 19 vs. Red Wings
63,Superunknown,Soundgarden,2nd PERIOD,Oct. 19 vs. Red Wings
64,Connected,Stereo MC's,2nd PERIOD,Oct. 19 vs. Red Wings
65,Corduroy,Pearl Jam,2nd PERIOD,Oct. 19 vs. Red Wings
66,Mean Street,Van Halen,2nd PERIOD,Oct. 19 vs. Red Wings
69,The Saint,Orbital,2nd INTERMISSION,Oct. 19 vs. Red Wings
70,Live in New York City,Robin Thicke,2nd INTERMISSION,Oct. 19 vs. Red Wings
71,Do It Again,Steely Dan,2nd INTERMISSION,Oct. 19 vs. Red Wings
72,Crazy Train,Ozzy Osbourne (Organ & Guitar),2nd INTERMISSION,Oct. 19 vs. Red Wings
73,Majestic,Avicii and Tiesto,2nd INTERMISSION,Oct. 19 vs. Red Wings
76,This Is How I Disappear,My Chemical Romance,3rd PERIOD,Oct. 19 vs. Red Wings
77,Testify,Rage Against The Machine,3rd PERIOD,Oct. 19 vs. Red Wings
78,Zero,Smashing Pumpkins,3rd PERIOD,Oct. 19 vs. Red Wings
79,Master of Puppets,Metallica,3rd PERIOD,Oct. 19 vs. Red Wings
80,Go Hard,Diskord,3rd PERIOD,Oct. 19 vs. Red Wings
81,Here Comes My Baby,Mavericks,3rd PERIOD,Oct. 19 vs. Red Wings
82,Reach Up,Perfecto All Stars,3rd PERIOD,Oct. 19 vs. Red Wings
83,The Launch,DJ Jean,3rd PERIOD,Oct. 19 vs. Red Wings
84,Hurricane 2000,Scorpions,3rd PERIOD,Oct. 19 vs. Red Wings
85,Lonely Boy,The Black Keys,3rd PERIOD,Oct. 19 vs. Red Wings
86,Don't Give Up,Fedde Le Grand,3rd PERIOD,Oct. 19 vs. Red Wings
87,Vicarious,Tool,3rd PERIOD,Oct. 19 vs. Red Wings
88,No One Knows,Queens of the Stone Age,3rd PERIOD,Oct. 19 vs. Red Wings
89,Strike It Up,Black Box,3rd PERIOD,Oct. 19 vs. Red Wings
90,Vertigo,U2,3rd PERIOD,Oct. 19 vs. Red Wings
91,Freedom,Rage Against The Machine,3rd PERIOD,Oct. 19 vs. Red Wings
92,Machinehead,Bush,3rd PERIOD,Oct. 19 vs. Red Wings
93,Joker & The Thief,Wolfmother,3rd PERIOD,Oct. 19 vs. Red Wings
96,New York Hustle,Dave Stewart and Mick Jagger,POSTGAME,Oct. 19 vs. Red Wings
97,New York State of Mind,Tony Bennett and Billy Joel,POSTGAME,Oct. 19 vs. Red Wings
1,Manhattan,Ella Fitzgerald,ORGAN SET,Oct. 23 vs. Coyotes
2,Don't Get Around Anymore,Duke Ellington,ORGAN SET,Oct. 23 vs. Coyotes
5,Countdown,Hardwell,WARMUPS,Oct. 23 vs. Coyotes
6,Don't Give Up,Fedde Le Grand,WARMUPS,Oct. 23 vs. Coyotes
7,Into The Light,Sander Van Doorn,WARMUPS,Oct. 23 vs. Coyotes
8,The Moment,Nicky Romero,WARMUPS,Oct. 23 vs. Coyotes
9,Ahead of Us,Tom Swoon,WARMUPS,Oct. 23 vs. Coyotes
10,This is Love,Tritional,WARMUPS,Oct. 23 vs. Coyotes
11,Back Where I Belong,Otto Knows,WARMUPS,Oct. 23 vs. Coyotes
12,Time to Fly,Avicii,WARMUPS,Oct. 23 vs. Coyotes
13,Calling,Sebastian Ingrosso,WARMUPS,Oct. 23 vs. Coyotes
14,Sweet Child O' Mine (remix),Guns N Roses,WARMUPS,Oct. 23 vs. Coyotes
15,Rattle,Bingo Players,WARMUPS,Oct. 23 vs. Coyotes
16,Here We Go,Hard Rock Sofa,WARMUPS,Oct. 23 vs. Coyotes
17,Generation 303,Nicky Romero,WARMUPS,Oct. 23 vs. Coyotes
18,The One and Only,Quintino,WARMUPS,Oct. 23 vs. Coyotes
19,Mammoth,Dimitri Vegas,WARMUPS,Oct. 23 vs. Coyotes
20,Barricade,Axwell,WARMUPS,Oct. 23 vs. Coyotes
21,Turn It,Fedde Le Grand,WARMUPS,Oct. 23 vs. Coyotes
22,Awooga,Calvin Harris,WARMUPS,Oct. 23 vs. Coyotes
25,In the Air Tonight,Phil Collins,PREGAME CEREMONIES,Oct. 23 vs. Coyotes
26,Waste A Moment,Kings of Leon,PREGAME CEREMONIES,Oct. 23 vs. Coyotes
